SNPs,PMIDs,Neuroimaging_Features
RS3752240,27003212,Amyloid deposition
RS3752240,27003212,p_tau
RS3752240,27003212,AV45_PET
RS3752240,27003212,Brain atrophy
RS3752240,27003212,Atrophy
RS3752240,27003212,Hypometabolism
RS78117248,27003212,Tau
RS78117248,27003212,Cerebrospinal fluid
RS78117248,27003212,Amyloid deposition
RS78117248,27003212,p_tau
RS78117248,27003212,AV45_PET
RS78117248,27003212,Brain atrophy
RS78117248,27003212,Atrophy
RS78117248,27003212,Hypometabolism
RS3764650,24908168,Mini mental state exam
RS3764650,24908168,Boston naming test
RS3764650,26795201,Alzheimer disease
RS2075650,26795201,Alzheimer disease
RS3865444,26795201,Alzheimer disease
RS376465,26795201,Alzheimer disease
RS3764605,26795201,Alzheimer disease
RS157580,26795201,Alzheimer disease
RS3764650,24438528,Disability assessment for dementia
RS3818361,24438528,Disability assessment for dementia
RS744373,24438528,Disability assessment for dementia
 RS1532278,24438528,Disability assessment for dementia
RS3865444,24438528,Disability assessment for dementia
RS9349407,24438528,Disability assessment for dementia
RS561655,24438528,Disability assessment for dementia
 RS11767557,24438528,Disability assessment for dementia
RS610932,24438528,Disability assessment for dementia
RS3764650,27103528,Scores
RS3818361,27103528,Scores
RS6265,27103528,Scores
RS668387,27103528,Scores
RS12007229,27103528,Scores
RS17314229,27103528,Scores
RS6109332,27103528,Scores
RS6125962,27103528,Scores
RS10808746,27103528,Scores
RS3746319,27103528,Scores
RS4680,27103528,Scores
RS3764650,24743338,Scores
 RS1532278,24743338,Scores
 RS1476679,24743338,Scores
RS3764650,26923404,Hippocampus
RS3764650,26923404,Hippocampal atrophy
RS3764650,26923404,Cortical Thickness
RS3764650,26923404,Magnetic resonance imaging
RS610932,26923404,Hippocampus
RS610932,26923404,Hippocampal atrophy
RS610932,26923404,Cortical Thickness
RS610932,26923404,Magnetic resonance imaging
RS3764650,23669301,Scores
 RS3752246,23669301,Scores
RS2075650,25670335,Hippocampus volume
RS2075650,25670335,Brain volume
RS2075650,25670335,White Matter Hyperintensity
RS2075650,25670335,Intracranial volume
RS2075650,25670335,Magnetic resonance imaging
RS3865444,25670335,Hippocampus volume
RS3865444,25670335,Brain volume
RS3865444,25670335,White Matter Hyperintensity
RS3865444,25670335,Intracranial volume
RS3865444,25670335,Magnetic resonance imaging
RS2075650,23734114,Hippocampus
RS2075650,23734114,Hippocampus volume
 RS11556505,23734114,Hippocampus
 RS11556505,23734114,Hippocampus volume
RS2075650,24530172,Mini mental state exam
RS2075650,24530172,Phonemic fluency
 RS3752232,24530172,Mini mental state exam
 RS3752232,24530172,Phonemic fluency
 RS11803956,24530172,Mini mental state exam
 RS11803956,24530172,Phonemic fluency
RS2075650,22975751,Alzheimer disease
RS429358,22975751,Alzheimer disease
 RS677909,22975751,Alzheimer disease
RS2075650,24176626,Alzheimer disease
RS3818361,24176626,Alzheimer disease
 RS6656401,24176626,Alzheimer disease
RS3865444,24176626,Alzheimer disease
RS7561528,24176626,Alzheimer disease
RS2075650,20885792,Alzheimer disease
 RS17349743,20885792,Alzheimer disease
 RS803422,20885792,Alzheimer disease
 RS803424,20885792,Alzheimer disease
 RS2073067,20885792,Alzheimer disease
 RS2072064,20885792,Alzheimer disease
RS11754661,20885792,Alzheimer disease
RS2075650,21459483,Tau
RS2075650,21459483,Mini mental state exam
RS2075650,21459483,Cerebrospinal fluid
RS2075650,21459483,p_tau
 RS541458,21459483,Tau
 RS541458,21459483,Mini mental state exam
 RS541458,21459483,Cerebrospinal fluid
 RS541458,21459483,p_tau
 RS1408077,21459483,Tau
 RS1408077,21459483,Mini mental state exam
 RS1408077,21459483,Cerebrospinal fluid
 RS1408077,21459483,p_tau
RS2075650,24146538,Alzheimer disease
RS2075650,24549102,Functional magnetic resonance imaging
RS2075650,24549102,Assessment of anxiety
RS2075650,26444770,Hippocampus
RS2075650,26444770,Right Hippocampus
RS2075650,26444770,Structural magnetic resonance imaging
RS2075650,26444770,Right Caudate
RS2075650,26444770,Inferior Temporal Gyrus
RS2075650,26444770,Lateral Occipito_Temporal Gyrus
RS2075650,26444770,Parahippocampal Gyrus
RS2075650,26444770,Insula
RS2075650,26444770,Magnetic resonance imaging
 RS1498853,26444770,Hippocampus
 RS1498853,26444770,Right Hippocampus
 RS1498853,26444770,Structural magnetic resonance imaging
 RS1498853,26444770,Right Caudate
 RS1498853,26444770,Inferior Temporal Gyrus
 RS1498853,26444770,Lateral Occipito_Temporal Gyrus
 RS1498853,26444770,Parahippocampal Gyrus
 RS1498853,26444770,Insula
 RS1498853,26444770,Magnetic resonance imaging
 RS17028008,26444770,Hippocampus
 RS17028008,26444770,Right Hippocampus
 RS17028008,26444770,Structural magnetic resonance imaging
 RS17028008,26444770,Right Caudate
 RS17028008,26444770,Inferior Temporal Gyrus
 RS17028008,26444770,Lateral Occipito_Temporal Gyrus
 RS17028008,26444770,Parahippocampal Gyrus
 RS17028008,26444770,Insula
 RS17028008,26444770,Magnetic resonance imaging
 RS2137962,26444770,Hippocampus
 RS2137962,26444770,Right Hippocampus
 RS2137962,26444770,Structural magnetic resonance imaging
 RS2137962,26444770,Right Caudate
 RS2137962,26444770,Inferior Temporal Gyrus
 RS2137962,26444770,Lateral Occipito_Temporal Gyrus
 RS2137962,26444770,Parahippocampal Gyrus
 RS2137962,26444770,Insula
 RS2137962,26444770,Magnetic resonance imaging
 RS4899412,26444770,Hippocampus
 RS4899412,26444770,Right Hippocampus
 RS4899412,26444770,Structural magnetic resonance imaging
 RS4899412,26444770,Right Caudate
 RS4899412,26444770,Inferior Temporal Gyrus
 RS4899412,26444770,Lateral Occipito_Temporal Gyrus
 RS4899412,26444770,Parahippocampal Gyrus
 RS4899412,26444770,Insula
 RS4899412,26444770,Magnetic resonance imaging
 RS11072463,26444770,Hippocampus
 RS11072463,26444770,Right Hippocampus
 RS11072463,26444770,Structural magnetic resonance imaging
 RS11072463,26444770,Right Caudate
 RS11072463,26444770,Inferior Temporal Gyrus
 RS11072463,26444770,Lateral Occipito_Temporal Gyrus
 RS11072463,26444770,Parahippocampal Gyrus
 RS11072463,26444770,Insula
 RS11072463,26444770,Magnetic resonance imaging
 RS288496,26444770,Hippocampus
 RS288496,26444770,Right Hippocampus
 RS288496,26444770,Structural magnetic resonance imaging
 RS288496,26444770,Right Caudate
 RS288496,26444770,Inferior Temporal Gyrus
 RS288496,26444770,Lateral Occipito_Temporal Gyrus
 RS288496,26444770,Parahippocampal Gyrus
 RS288496,26444770,Insula
 RS288496,26444770,Magnetic resonance imaging
 RS4829605,26444770,Hippocampus
 RS4829605,26444770,Right Hippocampus
 RS4829605,26444770,Structural magnetic resonance imaging
 RS4829605,26444770,Right Caudate
 RS4829605,26444770,Inferior Temporal Gyrus
 RS4829605,26444770,Lateral Occipito_Temporal Gyrus
 RS4829605,26444770,Parahippocampal Gyrus
 RS4829605,26444770,Insula
 RS4829605,26444770,Magnetic resonance imaging
 RS1052242,26444770,Hippocampus
 RS1052242,26444770,Right Hippocampus
 RS1052242,26444770,Structural magnetic resonance imaging
 RS1052242,26444770,Right Caudate
 RS1052242,26444770,Inferior Temporal Gyrus
 RS1052242,26444770,Lateral Occipito_Temporal Gyrus
 RS1052242,26444770,Parahippocampal Gyrus
 RS1052242,26444770,Insula
 RS1052242,26444770,Magnetic resonance imaging
 RS4886844,26444770,Hippocampus
 RS4886844,26444770,Right Hippocampus
 RS4886844,26444770,Structural magnetic resonance imaging
 RS4886844,26444770,Right Caudate
 RS4886844,26444770,Inferior Temporal Gyrus
 RS4886844,26444770,Lateral Occipito_Temporal Gyrus
 RS4886844,26444770,Parahippocampal Gyrus
 RS4886844,26444770,Insula
 RS4886844,26444770,Magnetic resonance imaging
 RS734854,26444770,Hippocampus
 RS734854,26444770,Right Hippocampus
 RS734854,26444770,Structural magnetic resonance imaging
 RS734854,26444770,Right Caudate
 RS734854,26444770,Inferior Temporal Gyrus
 RS734854,26444770,Lateral Occipito_Temporal Gyrus
 RS734854,26444770,Parahippocampal Gyrus
 RS734854,26444770,Insula
 RS734854,26444770,Magnetic resonance imaging
 RS17027976,26444770,Hippocampus
 RS17027976,26444770,Right Hippocampus
 RS17027976,26444770,Structural magnetic resonance imaging
 RS17027976,26444770,Right Caudate
 RS17027976,26444770,Inferior Temporal Gyrus
 RS17027976,26444770,Lateral Occipito_Temporal Gyrus
 RS17027976,26444770,Parahippocampal Gyrus
 RS17027976,26444770,Insula
 RS17027976,26444770,Magnetic resonance imaging
 RS288503,26444770,Hippocampus
 RS288503,26444770,Right Hippocampus
 RS288503,26444770,Structural magnetic resonance imaging
 RS288503,26444770,Right Caudate
 RS288503,26444770,Inferior Temporal Gyrus
 RS288503,26444770,Lateral Occipito_Temporal Gyrus
 RS288503,26444770,Parahippocampal Gyrus
 RS288503,26444770,Insula
 RS288503,26444770,Magnetic resonance imaging
 RS1334496,26444770,Hippocampus
 RS1334496,26444770,Right Hippocampus
 RS1334496,26444770,Structural magnetic resonance imaging
 RS1334496,26444770,Right Caudate
 RS1334496,26444770,Inferior Temporal Gyrus
 RS1334496,26444770,Lateral Occipito_Temporal Gyrus
 RS1334496,26444770,Parahippocampal Gyrus
 RS1334496,26444770,Insula
 RS1334496,26444770,Magnetic resonance imaging
RS2075650,26576771,Cerebrospinal fluid
RS439401,26576771,Cerebrospinal fluid
RS3818361,22244847,Assessment of anxiety
 RS6656401,22244847,Assessment of anxiety
RS3818361,27066559,Alzheimer disease
RS3818361,27066559,Entorhinal Cortex
RS3818361,27066559,Pittsburgh Compound B
RS744373,27066559,Alzheimer disease
RS744373,27066559,Entorhinal Cortex
RS744373,27066559,Pittsburgh Compound B
RS9349407,27066559,Alzheimer disease
RS9349407,27066559,Entorhinal Cortex
RS9349407,27066559,Pittsburgh Compound B
RS3818361,23022416,Amyloid deposition
RS3818361,23022416,Positron emission tomography
RS3818361,24998857,Mini mental state exam
RS3818361,23582656,Alzheimer disease
RS3818361,23582656,Tau
 RS6656401,23582656,Alzheimer disease
 RS6656401,23582656,Tau
RS4844609,23582656,Alzheimer disease
RS4844609,23582656,Tau
RS744373,27003210,Tau
RS744373,27003210,Cerebrospinal fluid
RS744373,27003210,p_tau
RS744373,27003210,Hippocampal atrophy
RS744373,27003210,AV45_PET
RS744373,27003210,Brain atrophy
RS744373,27003210,18_fluorodeoxyglucose PET
RS744373,27003210,Magnetic resonance imaging
RS7561528,27003210,Tau
RS7561528,27003210,Cerebrospinal fluid
RS7561528,27003210,p_tau
RS7561528,27003210,Hippocampal atrophy
RS7561528,27003210,AV45_PET
RS7561528,27003210,Brain atrophy
RS7561528,27003210,18_fluorodeoxyglucose PET
RS7561528,27003210,Magnetic resonance imaging
RS72838284,27003210,Tau
RS72838284,27003210,Cerebrospinal fluid
RS72838284,27003210,p_tau
RS72838284,27003210,Hippocampal atrophy
RS72838284,27003210,AV45_PET
RS72838284,27003210,Brain atrophy
RS72838284,27003210,18_fluorodeoxyglucose PET
RS72838284,27003210,Magnetic resonance imaging
RS1469980,27003210,Tau
RS1469980,27003210,Cerebrospinal fluid
RS1469980,27003210,p_tau
RS1469980,27003210,Hippocampal atrophy
RS1469980,27003210,AV45_PET
RS1469980,27003210,Brain atrophy
RS1469980,27003210,18_fluorodeoxyglucose PET
RS1469980,27003210,Magnetic resonance imaging
RS13031703,27003210,Tau
RS13031703,27003210,Cerebrospinal fluid
RS13031703,27003210,p_tau
RS13031703,27003210,Hippocampal atrophy
RS13031703,27003210,AV45_PET
RS13031703,27003210,Brain atrophy
RS13031703,27003210,18_fluorodeoxyglucose PET
RS13031703,27003210,Magnetic resonance imaging
RS744373,20460622,Alzheimer disease
 RS597668,20460622,Alzheimer disease
RS744373,24260488,Amyloid deposition
RS744373,24260488,18F AV_45
RS744373,24260488,Positron emission tomography
RS7561528,24260488,Amyloid deposition
RS7561528,24260488,18F AV_45
RS7561528,24260488,Positron emission tomography
 RS7851179,24260488,Amyloid deposition
 RS7851179,24260488,18F AV_45
 RS7851179,24260488,Positron emission tomography
RS744373,26631617,Hippocampus
RS744373,26631617,Hippocampal Formation
RS744373,26680604,Alzheimer disease
 RS6656401,26680604,Alzheimer disease
RS3865444,26680604,Alzheimer disease
RS9349407,26680604,Alzheimer disease
 RS4938933,26680604,Alzheimer disease
 RS9331888,26680604,Alzheimer disease
 RS11556505,26680604,Alzheimer disease
 RS4945261,26680604,Alzheimer disease
 RS5984894,26680604,Alzheimer disease
 RS597668,26680604,Alzheimer disease
 RS9271192,26680604,Alzheimer disease
RS28834970,26680604,Alzheimer disease
 RS1562990,26680604,Alzheimer disease
 RS157581,26680604,Alzheimer disease
RS1160985,26680604,Alzheimer disease
RS6691117,26680604,Alzheimer disease
RS744373,25630570,Hippocampus
RS744373,25630570,Hippocampus volume
 RS10524523,24260406,Hippocampus
 RS10524523,24260406,Hippocampal atrophy
 RS10524523,24260406,Right Hippocampus
 RS10524523,24260406,Structural magnetic resonance imaging
 RS10524523,24260406,Brain atrophy
 RS10524523,24260406,Hippocampal Formation
 RS10524523,24260406,Magnetic resonance imaging
 RS10524523,22869155,Alzheimer disease
 RS10524523,24508314,White matter integrity
 RS10524523,24508314,Magnetic resonance imaging
 RS10524523,24508314,Scores
 RS10524523,25862420,Brain region
 RS10524523,25862420,Cortical Thickness
 RS10524523,25862420,Entorhinal Cortex
 RS10524523,25862420,Magnetic resonance imaging
 RS10524523,21784354,Precuneus
 RS10524523,21784354,Grey matter volume
 RS10524523,25500937,Tau
 RS10524523,25500937,Cerebrospinal fluid
 RS10524523,20457951,Alzheimer disease
 RS10524523,21825236,Alzheimer disease
 RS10524523,21825236,Tau
 RS10524523,21825236,Cerebrospinal fluid
 RS10524523,22863908,Cambridge neuropsychological test
 RS10524523,22863908,Assessment of anxiety
 RS10524523,26756745,Tau
 RS10524523,26756745,Cerebrospinal fluid
 RS10524523,24439168,Brain region
 RS242557,22291217,Tau
 RS242557,22291217,Brain region
RS356165,22291217,Tau
RS356165,22291217,Brain region
 RS242557,22685416,Brain region
 RS242557,22685416,Hindbrain
 RS6532197,22685416,Brain region
 RS6532197,22685416,Hindbrain
 RS1561570,22685416,Brain region
 RS1561570,22685416,Hindbrain
 RS1701704,22685416,Brain region
 RS1701704,22685416,Hindbrain
rs11568563,22685416,Brain region
rs11568563,22685416,Hindbrain
RS4728142,22685416,Brain region
RS4728142,22685416,Hindbrain
 RS242557,20951764,Alzheimer disease
 RS242557,20951764,Tau
 RS242557,20951764,Cerebrospinal fluid
 RS242557,20951764,Parkinson disease
 RS2471738,20951764,Alzheimer disease
 RS2471738,20951764,Tau
 RS2471738,20951764,Cerebrospinal fluid
 RS2471738,20951764,Parkinson disease
rs7521,20951764,Alzheimer disease
rs7521,20951764,Tau
rs7521,20951764,Cerebrospinal fluid
rs7521,20951764,Parkinson disease
 RS1880756,20951764,Alzheimer disease
 RS1880756,20951764,Tau
 RS1880756,20951764,Cerebrospinal fluid
 RS1880756,20951764,Parkinson disease
 RS1467967,20951764,Alzheimer disease
 RS1467967,20951764,Tau
 RS1467967,20951764,Cerebrospinal fluid
 RS1467967,20951764,Parkinson disease
 RS1880753,20951764,Alzheimer disease
 RS1880753,20951764,Tau
 RS1880753,20951764,Cerebrospinal fluid
 RS1880753,20951764,Parkinson disease
 RS1800547,20951764,Alzheimer disease
 RS1800547,20951764,Tau
 RS1800547,20951764,Cerebrospinal fluid
 RS1800547,20951764,Parkinson disease
 RS242557,17266761,Tau
 RS242557,23116876,Tau
 RS1768208,23116876,Tau
 RS7571971,23116876,Tau
 RS1411478,23116876,Tau
 RS242557,18841019,Tau
 RS242557,18841019,Tau hyperphosphorylation
RS2071746,18841019,Tau
RS2071746,18841019,Tau hyperphosphorylation
 RS242557,19308965,Tau
 RS242557,17179995,Tau
 RS242557,17179995,Cerebrospinal fluid
 RS242557,24923570,Tau
 RS6656401,22262751,Alzheimer disease
 RS6656401,22262751,Amyloid deposition
 RS6656401,22262751,Intracerebral hemorrhage
RS28936379,10822446,Alzheimer disease
RS28936379,10362543,Amyloid deposition
RS28936379,15055444,Alzheimer disease
RS28936379,15055444,Amyloid deposition
RS28936379,15055444,White matter
RS28936379,15055444,Cerebral Cortex
RS28936379,15006697,Abeta_42
RS28936379,9065468,Abeta_42
rs661,9065468,Abeta_42
RS28936379,16545890,Alzheimer disease
rs28936380,16545890,Alzheimer disease
RS28936379,9694871,Abeta_42
RS28936379,15663477,Abeta_42
RS2070045,23318115,Scores
 RS11600875,23318115,Scores
 RS753780,23318115,Scores
 RS7105365,23318115,Scores
 RS11820794,23318115,Scores
RS2070045,25659857,Tau
RS2070045,25659857,Mini mental state exam
RS2070045,25659857,Cerebrospinal fluid
RS2070045,25659857,Hippocampal atrophy
 RS3824968,25659857,Tau
 RS3824968,25659857,Mini mental state exam
 RS3824968,25659857,Cerebrospinal fluid
 RS3824968,25659857,Hippocampal atrophy
 RS11218340,25659857,Tau
 RS11218340,25659857,Mini mental state exam
 RS11218340,25659857,Cerebrospinal fluid
 RS11218340,25659857,Hippocampal atrophy
 RS3824966,25659857,Tau
 RS3824966,25659857,Mini mental state exam
 RS3824966,25659857,Cerebrospinal fluid
 RS3824966,25659857,Hippocampal atrophy
RS2070045,24309291,Tau
RS2070045,22410445,Alzheimer disease
 RS1699102,22410445,Alzheimer disease
RS2070045,19368828,Cerebrospinal fluid
RS2070045,19368828,Abeta_42
 RS3824968,19368828,Cerebrospinal fluid
 RS3824968,19368828,Abeta_42
 RS1010159,19368828,Cerebrospinal fluid
 RS1010159,19368828,Abeta_42
RS2070045,25598427,Hippocampus
RS2070045,25598427,White matter
RS2070045,25598427,Axial diffusivity
RS2070045,25598427,Mean diffusivity
RS2070045,20625269,Alzheimer disease
 RS3824968,20625269,Alzheimer disease
 RS661057,20625269,Alzheimer disease
 RS1800764,20625269,Alzheimer disease
RS4343,20625269,Alzheimer disease
RS668387,20625269,Alzheimer disease
 RS2282649,20625269,Alzheimer disease
RS1799752,20625269,Alzheimer disease
 RS689021,20625269,Alzheimer disease
RS17125721,23990795,Tau
RS17125721,23990795,Cerebrospinal fluid
RS17125721,11524469,Algorithms
RS17125721,9915968,Alzheimer disease
RS17125721,18525293,Alzheimer disease
RS17125721,15772361,Abeta_42
RS17125721,10896268,Alzheimer disease
RS17125721,10896268,Hindbrain
RS17125721,11568920,Alzheimer disease
RS17125721,9781063,Alzheimer disease
RS429358,16603077,Tau
RS7412,16603077,Tau
RS429358,23571587,Alzheimer disease
 RS115550680,23571587,Alzheimer disease
RS429358,24448547,Intracerebral hemorrhage
RS7412,24448547,Intracerebral hemorrhage
RS429358,21958003,Alzheimer disease
RS7412,21958003,Alzheimer disease
RS429358,26776178,Structural magnetic resonance imaging
RS429358,26776178,Positron emission tomography
RS429358,26776178,18_fluorodeoxyglucose PET
RS429358,26776178,Magnetic resonance imaging
RS429358,20167577,Alzheimer disease
rs2230805,20167577,Alzheimer disease
 RS3183702,20167577,Alzheimer disease
RS429358,23419831,Amyloid deposition
RS429358,23419831,Positron emission tomography
RS429358,23419831,Cerebral Cortex
 RS509208,23419831,Amyloid deposition
 RS509208,23419831,Positron emission tomography
 RS509208,23419831,Cerebral Cortex
RS429358,22110642,Fluency test
RS7412,22110642,Fluency test
RS429358,26404360,Montreal cognitive assessment
RS7412,26404360,Montreal cognitive assessment
RS75932628,26704436,Dopaminergic Neurons
RS75932628,26704436,Substantia Nigra
 RS2234253,26704436,Dopaminergic Neurons
 RS2234253,26704436,Substantia Nigra
RS75932628,27051467,Tau
RS75932628,27051467,Hippocampus
